murder,negligent_manslaughter,forcible_sex,nonforcible_sex,robbery,aggravated_assault,burglary,vehicle_theft,arson,institute_id,location,year
0,0,0,0,0,0,0,0,0,100654001,noncampus,2016
0,0,0,0,0,1,0,0,0,100663001,noncampus,2016
,,,,,,,,,100663002,noncampus,2016
0,0,0,0,0,0,0,0,0,100690001,noncampus,2016
,,,,,,,,,100706001,noncampus,2016
0,0,0,0,1,0,1,0,0,100724001,noncampus,2016
0,0,1,0,0,0,0,1,0,100751001,noncampus,2016
,,,,,,,,,100751002,noncampus,2016
0,0,0,0,0,0,0,0,0,100760001,noncampus,2016
0,0,0,0,0,0,0,0,0,100760002,noncampus,2016
,,,,,,,,,100760003,noncampus,2016
0,0,0,0,0,0,0,0,0,100812001,noncampus,2016
0,0,0,0,0,0,0,0,0,100830001,noncampus,2016
0,0,0,0,0,2,1,2,2,100858001,noncampus,2016
,,,,,,,,,100858002,noncampus,2016
,,,,,,,,,100858003,noncampus,2016
,,,,,,,,,100858004,noncampus,2016
,,,,,,,,,100858005,noncampus,2016
,,,,,,,,,100858006,noncampus,2016
0,0,0,0,0,0,0,0,0,100858007,noncampus,2016
,,,,,,,,,100858008,noncampus,2016
0,0,0,0,0,0,3,0,0,100858009,noncampus,2016
,,,,,,,,,100858010,noncampus,2016
,,,,,,,,,100858011,noncampus,2016
,,,,,,,,,100858012,noncampus,2016
,,,,,,,,,100937001,noncampus,2016
,,,,,,,,,101028001,noncampus,2016
,,,,,,,,,101073001,noncampus,2016
,,,,,,,,,101116001,noncampus,2016
,,,,,,,,,101143001,noncampus,2016
,,,,,,,,,101143002,noncampus,2016
,,,,,,,,,101143003,noncampus,2016
0,0,0,0,0,0,0,0,0,101161001,noncampus,2016
0,0,0,0,0,0,0,0,0,101189001,noncampus,2016
,,,,,,,,,101189002,noncampus,2016
,,,,,,,,,101189003,noncampus,2016
,,,,,,,,,101189004,noncampus,2016
,,,,,,,,,101240001,noncampus,2016
,,,,,,,,,101277001,noncampus,2016
,,,,,,,,,101286001,noncampus,2016
,,,,,,,,,101286004,noncampus,2016
,,,,,,,,,101295001,noncampus,2016
,,,,,,,,,101301001,noncampus,2016
,,,,,,,,,101365001,noncampus,2016
0,0,0,0,0,0,0,0,0,101435001,noncampus,2016
,,,,,,,,,101453001,noncampus,2016
0,0,0,0,0,0,0,0,0,101462001,noncampus,2016
,,,,,,,,,101471001,noncampus,2016
0,0,0,0,0,0,0,0,0,101480001,noncampus,2016
0,0,0,0,0,0,0,0,0,101499001,noncampus,2016
0,0,0,0,0,0,0,0,0,101499002,noncampus,2016
,,,,,,,,,101505001,noncampus,2016
,,,,,,,,,101514001,noncampus,2016
,,,,,,,,,101514002,noncampus,2016
,,,,,,,,,101514004,noncampus,2016
0,0,0,0,0,0,0,0,0,101541001,noncampus,2016
,,,,,,,,,101569001,noncampus,2016
,,,,,,,,,101569002,noncampus,2016
0,0,0,0,0,0,0,0,0,101587001,noncampus,2016
,,,,,,,,,101602001,noncampus,2016
,,,,,,,,,101602002,noncampus,2016
,,,,,,,,,101602003,noncampus,2016
,,,,,,,,,101648001,noncampus,2016
0,0,0,0,4,3,0,0,0,101675001,noncampus,2016
,,,,,,,,,101693001,noncampus,2016
,,,,,,,,,101709001,noncampus,2016
,,,,,,,,,101736001,noncampus,2016
,,,,,,,,,101736002,noncampus,2016
0,0,5,0,1,0,2,0,0,101879001,noncampus,2016
,,,,,,,,,101879002,noncampus,2016
0,0,0,0,0,0,0,0,0,101897001,noncampus,2016
0,0,0,0,0,0,0,0,0,101912001,noncampus,2016
0,0,0,0,0,0,0,0,0,101949001,noncampus,2016
